Feature,Importance,Rank
LineOfCode,0.601569272853979,1
NoOfExternalRef,0.5616823423947381,2
NoOfImage,0.5465378248262578,3
NoOfSelfRef,0.5282506112866479,4
NoOfJS,0.5034217761748843,5
LargestLineLength,0.4860403986203179,6
NoOfCSS,0.44640476396652584,7
HasSocialNet,0.40226773351768386,8
LetterRatioInURL,0.38275883930037646,9
HasCopyrightInfo,0.3367456061948575,10
HasDescription,0.2949049825876775,11
IsHTTPS,0.24213430270703462,12
NoOfOtherSpecialCharsInURL,0.2401446002688048,13
DomainTitleMatchScore,0.2072165392775549,14
SpacialCharRatioInURL,0.20564760229343304,15
HasSubmitButton,0.20153108513617513,16
URLTitleMatchScore,0.17932413924429524,17
DegitRatioInURL,0.17635272108390465,18
NoOfDegitsInURL,0.17309251458572028,19
NoOfEmptyRef,0.17209080990468117,20
URLLength,0.16911442630968532,21
NoOfiFrame,0.16872843139045623,22
IsResponsive,0.16867474953413053,23
CharContinuationRate,0.1603614345121942,24
HasHiddenFields,0.15681684054449385,25
NoOfLettersInURL,0.15430553218921395,26
HasFavicon,0.1501433931506,27
URLCharProb,0.13717775292365464,28
HasTitle,0.13681302663230244,29
Robots,0.09930149011074807,30
DomainLength,0.08881765734514313,31
Pay,0.08486542631716265,32
NoOfSubDomain,0.0730029066662985,33
Bank,0.02798266310516584,34
NoOfQMarkInURL,0.026669673887288914,35
NoOfPopup,0.025679817525474435,36
NoOfEqualsInURL,0.022696842252911242,37
HasExternalFormSubmit,0.02167786767464408,38
TLDLength,0.020569331283074144,39
HasPasswordField,0.01725900557320581,40
NoOfURLRedirect,0.011083160992248153,41
Crypto,0.008520270475679048,42
NoOfSelfRedirect,0.006724565857022968,43
HasObfuscation,0.0038562088169267206,44
IsDomainIP,0.0035697268210943545,45
NoOfAmpersandInURL,0.0031852725946615035,46
ObfuscationRatio,0.003008648804948555,47
NoOfObfuscatedChar,0.0,48
